,DATE,ID,INDUSTRY,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
16,1981-12-31,5,,11.9,10.5,6.5,7.0,8.0,8.2,0.02625,0.0429265625000001,0.0611777773437502,0.0824013328906252,0.1045905602148831,0.00575,0.0038024375000003,0.0023102939687502,0.0023564998481253,-0.0099927745664739,-0.0176375451589596,-0.0210766212743862,-0.0242365930062322,-0.0431743752437847
17,1981-12-31,19,,11.9,9.8,7.1,6.5,7.3,7.2,0.0245,0.0426848749999999,0.0596285042187501,0.0789667244207423,0.0983881254603158,0.0069999999999999,0.0086504999999996,0.0077570362499996,0.0107912486984762,-0.0082427745664739,-0.0173958576589594,-0.019527348149386,-0.0208019845363494,-0.0369719404892174
19,1981-12-31,23,,11.6,10.0,9.5,9.0,8.5,8.0,0.025,0.0493437499999998,0.0729539843749997,0.0957542565429685,0.1176693416738279,-0.0027499999999999,-0.0074401875,-0.0139482953437499,-0.0226681892876248,-0.0087427745664739,-0.0240547326589593,-0.0328528283056357,-0.0375895166585755,-0.0562531567027295
20,1981-12-31,30,,12.9,11.0,9.8,9.2,8.7,8.0,0.0275,0.05267375,0.07688524625,0.1003075003559375,0.1223136503630561,0.02225,0.0423975000000003,0.0615576150000005,0.080410894765313,-0.0112427745664739,-0.0273847326589595,-0.036784090180636,-0.0421427604715445,-0.0608974653919578
22,1981-12-31,35,,11.9,9.5,7.5,7.8,8.6,9.1,0.02375,0.0429453124999998,0.0632827460937499,0.0861433251347656,0.1108530857815817,6.245004513516506e-17,-0.0002559374999999,-0.0002609282812497,-0.0002665382392967,-0.0074927745664739,-0.0176562951589593,-0.0231815900243859,-0.0279785852503726,-0.0494369008104833
27,1981-12-31,62,,11.1,11.3,11.6,11.7,11.9,12.1,0.02825,0.0580692499999999,0.0890177755624999,0.1214160543854843,0.1553388900306453,0.0154999999999999,0.0237983125,0.0348371225156249,0.0453611527878865,-0.0119927745664739,-0.0327802326589594,-0.0489166194931358,-0.0632513145010913,-0.093922705059547
29,1981-12-31,68,,11.9,10.0,7.3,6.7,7.5,8.1,0.025,0.04370625,0.0611883296875002,0.0810856108691409,0.102977594489241,0.0034999999999999,0.0015208749999997,-0.0021012991562501,-0.0021406985154297,-0.0087427745664739,-0.0184172326589595,-0.0210871736181361,-0.0229208709847479,-0.0415614095181426
31,1981-12-31,70,,13.6,7.4,7.8,8.0,7.2,6.8,0.0185,0.03836075,0.059127965,0.07819226837,0.09652153693229,-0.0015,-0.0020392499999997,7.65000000235716e-07,0.00053034237,-0.0022427745664739,-0.0130717326589595,-0.019026808930636,-0.020027528485607,-0.0351053519611916
32,1981-12-31,75,,11.9,9.0,7.0,6.0,7.0,7.0,0.0225,0.04039375,0.0559996562499998,0.0744796502343749,0.0932830441134766,0.0015,-0.00102625,-0.0049469687500001,-0.005033540703125,-0.0062427745664739,-0.0151047326589595,-0.0158985001806357,-0.016314910349982,-0.0318668591423783
33,1981-12-31,79,,11.7,8.6,7.4,7.2,7.0,7.2,0.0215,0.0403977500000001,0.0591249095000001,0.0776595954162502,0.0970574681337428,-0.0007500000000001,-0.0015305624999999,-0.00312100509375,-0.0055656759907265,-0.0052427745664739,-0.0151087326589596,-0.0190237534306361,-0.0194948555318572,-0.0356412831626444
35,1981-12-31,82,,12.0,6.8,5.4,6.9,8.1,8.5,0.017,0.0307295,0.048509583875,0.0697419029484689,0.0924739183861238,-0.0032500000000001,-0.0096704375,-0.011397852453125,-0.0100387978108085,-0.0007427745664739,-0.0054404826589595,-0.0084084278056359,-0.0115771630640759,-0.0310577334150254
