,index,YEAR,QUARTER,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,yrq,r_t1,r_t2,r_t3,r_t4
0,51,1981,3,7.7069,9.2156,7.9281,7.7594,7.6094,7.725,1981_Q3,1.0244000000000009,-0.00039999999999995595,-0.052999999999999936,-0.014699999999999491
1,52,1981,4,10.7316,8.9525,7.759,7.5564,7.7103,7.9256,1981_Q4,-2.2528000000000006,-1.4783,-1.1416000000000004,-1.5506000000000002
2,53,1982,1,6.3645,5.5062,6.0781,6.5687,6.375,6.4821,1982_Q1,-2.3864,-0.8000999999999996,-0.5083000000000002,-0.6127000000000002
3,54,1982,2,3.5382,3.6917,5.7686,5.8667,5.8694,5.5444,1982_Q2,1.3476,-0.4693999999999994,-0.16939999999999955,0.13129999999999953
4,55,1982,3,5.3343,7.1162,5.3973,5.7,5.6757,5.95,1982_Q3,-1.4296000000000006,-0.41610000000000014,-0.14670000000000005,-0.4112999999999998
5,56,1982,4,7.2793,3.9677,5.2839,5.529,5.5387,5.6742,1982_Q4,-2.721,-1.6719,-1.3901000000000003,-1.2885
6,57,1983,1,1.7206,2.5629,3.8571,4.1486,4.3857,4.2355,1983_Q1,-0.19419999999999993,0.022800000000000153,0.02859999999999996,0.31599999999999984
7,58,1983,2,-0.2486,3.6629,4.1714,4.4143,4.5515,4.4824,1983_Q2,-0.1576000000000004,-0.014299999999999535,-0.3791000000000002,-0.19620000000000015
8,59,1983,3,3.825,4.0138,4.4,4.1724,4.2862,4.4172,1983_Q3,0.42579999999999973,0.5857000000000001,0.47829999999999995,0.5602
9,60,1983,4,4.4161,4.8258,4.7581,4.7645,4.9774,5.1742,1983_Q4,-0.9581,-0.7711999999999999,-0.5674000000000001,-0.6708999999999996
10,61,1984,1,3.8552,3.8,3.9933,4.41,4.5033,4.4786,1984_Q1,0.2817000000000003,0.2336999999999998,0.4748000000000001,0.6494999999999997
11,62,1984,2,4.2548,4.275,4.6437,4.9781,5.1281,5.2969,1984_Q2,-0.9668000000000001,-0.5012000000000008,-0.12429999999999986,-0.019999999999999574
12,63,1984,3,3.704,3.6769,4.4769,5.0038,5.2769,5.4654,1984_Q3,-0.4968999999999997,-0.7557999999999998,-1.0144000000000002,-0.8373999999999997
13,64,1984,4,3.8,3.98,4.248,4.2625,4.628,4.868,1984_Q4,-1.0063000000000004,-0.6542000000000003,-0.7488000000000001,-0.7013000000000007
14,65,1985,1,3.2417,3.2417,3.6083,3.8792,4.1667,4.4182,1985_Q1,0.4317000000000002,0.15280000000000005,0.07730000000000015,0.12349999999999994
15,66,1985,2,3.196,4.04,4.032,4.244,4.5417,4.6458,1985_Q2,-0.5079000000000002,-0.3129999999999997,-0.24509999999999987,-0.11480000000000068
16,67,1985,3,4.0621,3.5241,3.931,4.2966,4.531,4.6679,1985_Q3,-0.7570999999999999,-0.7313999999999998,-0.8048999999999995,-0.7592000000000003
17,68,1985,4,2.5696,3.1739,3.5652,3.7261,3.9087,4.1087,1985_Q4,-0.4777,-0.5969000000000002,-0.45040000000000013,-0.31289999999999996
18,69,1986,1,3.8792,3.0875,3.1292,3.4583,3.7958,4.15,1986_Q1,-3.3459,-1.2546,-0.5513999999999997,-0.4611000000000005
19,70,1986,2,1.1556,-0.2167,2.2037,3.2444,3.6889,3.7423,1986_Q2,0.5746000000000002,0.17829999999999968,-0.41059999999999963,-0.39880000000000004
20,71,1986,3,-0.5696,2.7783,3.4227,3.2783,3.3435,3.5304,1986_Q3,-0.3826999999999998,0.011699999999999822,0.15149999999999997,0.19459999999999988
21,72,1986,4,2.73,3.04,3.29,3.495,3.725,3.895,1986_Q4,0.05290000000000017,0.00019999999999997797,-0.034499999999999975,-0.08550000000000013
22,73,1987,1,2.52,3.3429,3.4952,3.6905,3.8095,3.745,1987_Q1,0.8512,0.5630999999999995,0.4834000000000005,0.5979000000000001
23,74,1987,2,4.6429,4.3464,4.2536,4.2929,4.3429,4.4071,1987_Q2,-0.024999999999999467,0.08329999999999949,0.25229999999999997,0.24049999999999994
24,75,1987,3,4.7,4.2286,4.3762,4.5952,4.6476,4.67,1987_Q3,-0.23499999999999943,-0.3010999999999999,-0.5240999999999998,-0.38759999999999994
25,76,1987,4,4.0412,4.1412,4.2941,4.1235,4.2824,4.525,1987_Q4,-0.32740000000000036,0.02090000000000014,-0.0045999999999999375,-0.19720000000000049
