YEAR,QUARTER,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPIA,CPIB,CPIC
1968,4,,,,,,,,,
1969,1,,,,,,,,,
1969,2,,,,,,,,,
1969,3,,,,,,,,,
1969,4,,,,,,,,,
1970,1,,,,,,,,,
1970,2,,,,,,,,,
1970,3,,,,,,,,,
1970,4,,,,,,,,,
1971,1,,,,,,,,,
1971,2,,,,,,,,,
1971,3,,,,,,,,,
1971,4,,,,,,,,,
1972,1,,,,,,,,,
1972,2,,,,,,,,,
1972,3,,,,,,,,,
1972,4,,,,,,,,,
1973,1,,,,,,,,,
1973,2,,,,,,,,,
1973,3,,,,,,,,,
1973,4,,,,,,,,,
1974,1,,,,,,,,,
1974,2,,,,,,,,,
1974,3,,,,,,,,,
1974,4,,,,,,,,,
1975,1,,,,,,,,,
1975,2,,,,,,,,,
1975,3,,,,,,,,,
1975,4,,,,,,,,,
1976,1,,,,,,,,,
1976,2,,,,,,,,,
1976,3,,,,,,,,,
1976,4,,,,,,,,,
1977,1,,,,,,,,,
1977,2,,,,,,,,,
1977,3,,,,,,,,,
1977,4,,,,,,,,,
1978,1,,,,,,,,,
1978,2,,,,,,,,,
1978,3,,,,,,,,,
1978,4,,,,,,,,,
1979,1,,,,,,,,,
1979,2,,,,,,,,,
1979,3,,,,,,,,,
1979,4,,,,,,,,,
1980,1,,,,,,,,,
1980,2,,,,,,,,,
1980,3,,,,,,,,,
1980,4,,,,,,,,,
1981,1,,,,,,,,,
1981,2,,,,,,,,,
1981,3,7.7069,9.2156,7.9281,7.7594,7.6094,7.725,9.6613,8.0194,
1981,4,10.7316,8.9525,7.759,7.5564,7.7103,7.9256,9.9324,8.7514,
1982,1,6.3645,5.5062,6.0781,6.5687,6.375,6.4821,7.0903,6.7667,
1982,2,3.5382,3.6917,5.7686,5.8667,5.8694,5.5444,5.5545,5.4839,
1982,3,5.3343,7.1162,5.3973,5.7,5.6757,5.95,6.2444,6.0194,
1982,4,7.2793,3.9677,5.2839,5.529,5.5387,5.6742,6.2345,5.4433,
1983,1,1.7206,2.5629,3.8571,4.1486,4.3857,4.2355,4.0265,4.6467,
1983,2,-0.2486,3.6629,4.1714,4.4143,4.5515,4.4824,3.1187,4.6719,
1983,3,3.825,4.0138,4.4,4.1724,4.2862,4.4172,3.4111,4.5963,
